us/Guipuzcoa/L0455_0001,3342,5194
us/Guipuzcoa/L0455_0002,6427,5201
us/Guipuzcoa/L0455_0003,5194,3321
us/Guipuzcoa/Second agreement/L462/L462_0001,3327,5184
us/Guipuzcoa/Second agreement/L462/L462_0002,6517,5182
us/Guipuzcoa/Second agreement/L462/L462_0003,5167,3332
us/L0102_1/L0102_1_0001,2558,2137
us/L0102_2/L0102_2_0001,4451,3514
us/L0102_3/L0102_3_0001,4540,3792
us/L0830/L0830_0001,3583,5023
us/L113_1/L113_1_0001,3519,5315
us/L113_2/L113_2_0001,4641,3275
us/L113_3/L113_3_0001,4629,3627
us/L113_4/L113_4_0001,4158,3628
us/L1157/L1157_0001,3030,3909
us/L1157/L1157_0002,3925,3043
us/L1181/L1181_0001,2864,4652
us/L1220/L1220_0001,2835,932
us/L1220/L1220_0002,2853,3528
us/L1220/L1220_0003,5555,3550
us/L1220/L1220_0004,2752,2829
us/L448/L448_0001,3355,5244
us/L448/L448_0002,5246,3348
us/L457/L457_0001,2956,4568
us/L457/L457_0002,5670,4595
us/L457/L457_0003,4578,2954
us/L506/L506_0001,1561,1547
us/L506/L506_0002,1565,1555
us/L506/L506_0003,3671,2805
us/L506/L506_0004,3675,2809
us/L542/L542_0001,2860,1331
us/L542/L542_0002,3103,1404
us/L542/L542_0003,6862,3157
us/L542/L542_0004,6539,3667
us/LO149/LO149_0001,2419,3716
